[2026/08/24 22:19:39] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:19:42] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:19:44] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:19:47] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:19:50] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:19:52] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:19:55] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:19:58] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:20:00] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:20:03] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:20:06] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:20:09] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:20:11] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:20:14] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:20:17] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:20:19] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
