[2026/08/17 17:39:00] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:01] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:03] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:04] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:06] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:07] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:09] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:10] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:12] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:13] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:14] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:17] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:20] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:22] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:25] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:27] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:30] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:33] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:35] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:38] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:40] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:43] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:46] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:48] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:51] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:54] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:56] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:39:59] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:40:01] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/17 17:40:04] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
